name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Chicago, IL, United States",2022-08-26,78.1,67.4,72.5,78.1,67.4,72.5,61.9,70.2,0,0,0,,0,0,23.3,12.3,25.9,1017.1,65.8,9.9,80.8,6.9,4,,2022-08-26T06:10:05,2022-08-26T19:33:50,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,AP878,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2022-08-27,82.4,62.4,72.7,83.1,62.4,72.9,59.9,65.9,0,0,0,,0,0,16.8,10.3,102.5,1016.5,44.7,9.9,147.5,12.7,7,,2022-08-27T06:11:07,2022-08-27T19:32:13,0,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72534014819,AP878,KORD,KMDW,72530094846,F1983,F7086,74466504838,KPWK"
"Chicago, IL, United States",2022-08-28,89.9,70.6,79.9,94.5,70.6,82.2,66.3,63.9,0.078,100,16.67,rain,0,0,32.2,16.3,186.9,1010.4,68.9,9.7,134.5,11.5,8,,2022-08-28T06:12:09,2022-08-28T19:30:36,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72534014819,AP878,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2022-08-29,85.4,71.9,78,92.4,71.9,79.3,68.2,72.2,0.328,100,16.67,rain,0,0,34.4,15,222.1,1009.4,61.4,9.7,70.6,6.1,5,,2022-08-29T06:13:11,2022-08-29T19:28:58,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"72534014819,AP878,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2022-08-30,80.4,68.2,74.8,80.2,68.2,74.8,56.5,54.3,0.088,100,4.17,rain,0,0,32.1,18.2,282.5,1013.1,25.5,9.9,69.4,5.9,4,,2022-08-30T06:14:13,2022-08-30T19:27:19,0.12,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"72534014819,AP878,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2022-08-31,85.5,63.4,75.2,84.8,63.4,75,56.9,54.7,0,0,0,,0,0,23.2,14.4,276,1015.7,9.1,9.9,82.3,6.9,4,,2022-08-31T06:15:15,2022-08-31T19:25:40,0.16,Clear,Clear conditions throughout the day.,clear-day,"72534014819,AP878,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2022-09-01,88.5,69.2,79.1,87.7,69.2,79.2,61.7,57.1,0,0,0,,0,0,21,13,236.3,1015.8,38.8,9.9,79,6.7,4,,2022-09-01T06:16:17,2022-09-01T19:24:00,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,AP878,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2022-09-02,86.5,71.8,79.5,86.7,71.8,79.8,62.8,57.9,0,0,0,,0,0,25.2,14.9,195.1,1016.2,78.1,9.9,81,7.1,5,,2022-09-02T06:17:18,2022-09-02T19:22:20,0.23,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,AP878,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2022-09-03,88.3,71.3,77.2,89.6,71.3,77.5,64.4,66.1,0,0,0,,0,0,26.4,15.2,333.6,1018,62.5,9.9,65,5.6,3,,2022-09-03T06:18:20,2022-09-03T19:20:39,0.25,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2022-09-04,73.8,70.4,71.9,73.8,70.4,71.9,64.6,77.7,0.105,100,12.5,rain,0,0,24.2,15.9,32.1,1018.4,99.4,9.8,19.7,1.8,1,,2022-09-04T06:19:22,2022-09-04T19:18:58,0.3,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"72534014819,AP878,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2022-09-05,71.9,68.5,70.1,71.9,68.5,70.1,62.2,76.3,0.008,100,4.17,rain,0,0,22.6,12.8,31.9,1018,100,9.9,17.7,1.6,1,,2022-09-05T06:20:24,2022-09-05T19:17:16,0.33,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,"72534014819,AP878,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2022-09-06,79.4,68.6,73.4,79.4,68.6,73.4,63.5,72,0,0,0,,0,0,14.1,10.1,37.3,1019.2,81,9.9,51.2,4.4,3,,2022-09-06T06:21:26,2022-09-06T19:15:34,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,AP878,KORD,KMDW,72530094846,F1983,F7086,74466504838,KPWK"
"Chicago, IL, United States",2022-09-07,81.3,66.5,73.5,81.2,66.5,73.6,59.4,63.5,0,0,0,,0,0,18.8,11.6,29.1,1019.5,45.6,9.8,62.1,5.3,4,,2022-09-07T06:22:27,2022-09-07T19:13:51,0.4,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,F1983,F7086,74466504838,KPWK"
"Chicago, IL, United States",2022-09-08,84.3,63.8,74.4,83,63.8,74.1,56,55.2,0,0,0,,0,0,13.4,8.3,183.3,1014.7,18.6,9.9,74.5,6.5,4,,2022-09-08T06:23:29,2022-09-08T19:12:08,0.44,Clear,Clear conditions throughout the day.,clear-day,"72534014819,KORD,KMDW,72530094846,F1983,F7086,74466504838,KPWK"
"Chicago, IL, United States",2022-09-09,85.3,64.4,74.9,83.8,64.4,74.6,55.8,53.2,0,0,0,,0,0,25.3,12.3,184.1,1012.9,4.1,9.9,74.4,6.3,4,,2022-09-09T06:24:31,2022-09-09T19:10:25,0.47,Clear,Clear conditions throughout the day.,clear-day,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2022-09-10,85,65.6,75.7,83.8,65.6,75.5,58.6,57.4,0,0,0,,0,0,17.2,10.6,220.4,1015.5,51.4,9.9,71.8,6.1,4,,2022-09-10T06:25:33,2022-09-10T19:08:42,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2022-09-11,73.4,61,67.7,73.4,61,67.7,61.8,81.7,1.386,100,54.17,rain,0,0,30.5,18.4,334,1012.1,91.6,8.4,11.9,0.9,1,,2022-09-11T06:26:34,2022-09-11T19:06:58,0.54,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"72534014819,AP878,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2022-09-12,65.3,55.8,60.1,65.3,55.8,60.1,52.2,75.6,0.033,100,16.67,rain,0,0,31.3,15.1,272.7,1008.4,93.4,8.9,37.3,3.2,1,,2022-09-12T06:27:36,2022-09-12T19:05:14,0.57,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2022-09-13,78.6,59.6,68.5,78.6,59.6,68.5,57.9,70.4,0.003,100,4.17,rain,0,0,21.7,10.7,315,1011.6,69.2,9.8,45.8,4,3,,2022-09-13T06:28:38,2022-09-13T19:03:30,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2022-09-14,79.2,58.4,68.4,79.2,58.4,68.4,57.7,69.8,0,0,0,,0,0,20.1,10.5,57.5,1019.3,25.9,9.9,62.8,5.3,3,,2022-09-14T06:29:40,2022-09-14T19:01:45,0.64,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2022-09-15,82.7,62.7,72.7,82.9,62.7,72.8,60,66.3,0,0,0,,0,0,18.3,10.5,198.7,1021.5,49.3,9.6,70.8,6.1,4,,2022-09-15T06:30:42,2022-09-15T19:00:01,0.67,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2022-09-16,84,65.8,75.1,84,65.8,75.3,60.4,62,0,0,0,,0,0,24.2,14.3,195.6,1018.9,74.3,9.9,69,5.8,4,,2022-09-16T06:31:44,2022-09-16T18:58:16,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2022-09-17,86.4,70,77.6,86.2,70,77.8,60.8,57.5,0,0,0,,0,0,36.8,20.1,199.3,1015.6,80.2,9.9,63.6,5.5,4,,2022-09-17T06:32:46,2022-09-17T18:56:31,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2022-09-18,85.4,71.8,78.7,86.2,71.8,79.2,62.1,57.3,0.001,100,4.17,rain,0,0,26.7,14.9,216.3,1012.6,63,9.9,63.1,5.4,4,,2022-09-18T06:33:48,2022-09-18T18:54:46,0.77,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72534014819,AP878,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2022-09-19,78.1,67.7,72.9,78.1,67.7,72.9,61.1,68.3,0.275,100,12.5,rain,0,0,33.3,11.4,35.7,1014.1,38.5,9.8,72.7,6.3,4,,2022-09-19T06:34:51,2022-09-19T18:53:01,0.8,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"72534014819,KORD,KMDW,72530094846,F1983,KPWK,74466504838"
"Chicago, IL, United States",2022-09-20,90.1,64.9,75.2,94.4,64.9,76.2,63.3,67.5,0.159,100,16.67,rain,0,0,43.8,28,182.4,1013.1,45,9.7,65.2,5.7,4,,2022-09-20T06:35:53,2022-09-20T18:51:16,0.83,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72534014819,AP878,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2022-09-21,86.3,65.5,78.7,89.1,65.5,79.2,60.1,53.9,0.034,100,4.17,rain,0,0,29.1,16.3,296.8,1010.2,55.1,9.9,72.7,6.2,6,,2022-09-21T06:36:55,2022-09-21T18:49:31,0.86,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"72534014819,AP878,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2022-09-22,64.8,55.4,60.2,64.8,55.4,60.2,43.1,53.7,0,0,0,,0,0,30.9,17,354.6,1020.5,41.7,9.9,78.8,6.7,4,,2022-09-22T06:37:58,2022-09-22T18:47:47,0.9,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72534014819,AP878,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
